역명,주거인구,직장인구,유동인구,상권평가지수,승차인원,하차인원
판암역,26440,3241,22000,49.5,1322658,1192530
신흥역,40300,5957,8557,51.9,509766,470083
대전역,3189,14642,67966,53.5,3486556,3369368
중앙로역,6718,20739,95748,56.3,1708493,1861770
중구청역,10665,18244,28353,53.8,660235,694091
서대전네거리역,48964,38419,39401,56.3,1833056,1939312
오룡역,59382,28670,39370,53.6,1259875,1144521
용문역,54672,22394,34573,59.1,1864737,1872302
탄방역,65068,69178,58295,62,1345382,1470750
시청역,54522,45820,60439,62.6,2278539,2341130
정부청사역,43190,72525,41495,61.9,1957332,2153061
갈마역,76456,46675,13280,56.1,933892,935510
