역이름,근처 인구수,승차인원,하차인원
판암역,1825,1322658,1192530
신흥역,3608,509766,470083
대동역,8284,1350711,1187396
대전역,1780,3486556,3369368
중앙로역,5375,1708493,1861770
중구청역,5375,660235,694091
서대전네거리역,3391,1833056,1939312
오룡역,7000,1259875,1144521
용문역,6550,1864737,1872302
탄방역,7424,1345382,1470750
시청역,7202,2278539,2341130
정부청사역,7350,1957332,2153061
갈마역,8250,933892,935510
월평역,6757,1077652,1073541
갑천역,1659,320465,312028
유성온천역,918,2875859,2971625
구암역,1294,928420,925443
현충원역,1454,721150,602194
월드컵경기장역,935,854861,765064
노은역,819,1268324,1330127
지족역,1417,667900,634797
반석역,1524,2334475,2197210
